Testing Epoch: Init, Rp: 0.793853368225292, R2: -0.6176658701495452, MAE: 5.5650925994067375, RMSE: 8.468106884993004
Testing Epoch: 0, Rp: 0.7912223963254641, R2: -0.5580216633113706, MAE: 5.375147465888414, RMSE: 8.31052893024633
Testing Epoch: 1, Rp: 0.79094575952797, R2: -0.5513917895281402, MAE: 5.356265548024097, RMSE: 8.29282811811742
Testing Epoch: 2, Rp: 0.7907443151170641, R2: -0.5419330555960424, MAE: 5.332095772343745, RMSE: 8.26750905253011
Testing Epoch: 3, Rp: 0.7906313785461339, R2: -0.5310321044230524, MAE: 5.305069668020125, RMSE: 8.238232955278303
Testing Epoch: 4, Rp: 0.7905510919805558, R2: -0.519783489232378, MAE: 5.277777645504071, RMSE: 8.207913685235377
Testing Epoch: 5, Rp: 0.7905050314607704, R2: -0.5083343800081042, MAE: 5.250111553777726, RMSE: 8.176938564456796
Testing Epoch: 6, Rp: 0.7904712488514922, R2: -0.49649721145012715, MAE: 5.221240713416282, RMSE: 8.144789708121523
Testing Epoch: 7, Rp: 0.790493898050519, R2: -0.4843393186806384, MAE: 5.191678219085466, RMSE: 8.111637149344519
Testing Epoch: 8, Rp: 0.7905287736237055, R2: -0.47203848007214533, MAE: 5.162927387470366, RMSE: 8.077956332475454
Testing Epoch: 9, Rp: 0.7906075954276104, R2: -0.4598429781140847, MAE: 5.136016008955327, RMSE: 8.044424727752977
Testing Epoch: 10, Rp: 0.7907029583691818, R2: -0.44739538058350115, MAE: 5.10820551924505, RMSE: 8.010055234036892
Testing Epoch: 11, Rp: 0.7908125950356989, R2: -0.4347814752741861, MAE: 5.079818759581119, RMSE: 7.975075442661907
Testing Epoch: 12, Rp: 0.7909478454108541, R2: -0.42177950283362153, MAE: 5.050702378834275, RMSE: 7.938858187064246
Testing Epoch: 13, Rp: 0.7910904206846521, R2: -0.40906127309286155, MAE: 5.022477367181558, RMSE: 7.903270729516203
Testing Epoch: 14, Rp: 0.791263687164101, R2: -0.39626466320487186, MAE: 4.9943746327815575, RMSE: 7.867301484813739
Testing Epoch: 15, Rp: 0.7914703891007846, R2: -0.38334624965228814, MAE: 4.966024941947553, RMSE: 7.830822287482989
Testing Epoch: 16, Rp: 0.791671411297861, R2: -0.3703469871975078, MAE: 4.937292558391791, RMSE: 7.793942444368923
Testing Epoch: 17, Rp: 0.7918737627857606, R2: -0.35754635402240686, MAE: 4.908675562384855, RMSE: 7.7574547957721025
Testing Epoch: 18, Rp: 0.7921156169811633, R2: -0.3446875681960948, MAE: 4.880253577456152, RMSE: 7.720627770213411
Testing Epoch: 19, Rp: 0.7923518793094395, R2: -0.3320688862377461, MAE: 4.852875475264094, RMSE: 7.684316813350371
Testing Epoch: 20, Rp: 0.7926327066974737, R2: -0.31934504099620575, MAE: 4.825280912766929, RMSE: 7.647528677322029
Testing Epoch: 21, Rp: 0.7929204398638128, R2: -0.3065396647354448, MAE: 4.797175528932869, RMSE: 7.6103252689036385
Testing Epoch: 22, Rp: 0.7932038449163235, R2: -0.2937423717440881, MAE: 4.769053890849949, RMSE: 7.572962752214914
Testing Epoch: 23, Rp: 0.7934985778100438, R2: -0.2810922830026399, MAE: 4.741282188051755, RMSE: 7.535847951625774
Testing Epoch: 24, Rp: 0.7938118233031632, R2: -0.2685515892385122, MAE: 4.714413806439344, RMSE: 7.498872793816126
Testing Epoch: 25, Rp: 0.7941435117224207, R2: -0.2561250900820464, MAE: 4.68789366720245, RMSE: 7.462053610815299
Testing Epoch: 26, Rp: 0.7944759822480407, R2: -0.2436811835103576, MAE: 4.66090968642834, RMSE: 7.424999889393536
Testing Epoch: 27, Rp: 0.7948229900236026, R2: -0.23101373762622734, MAE: 4.633428238641078, RMSE: 7.387089646373516
Testing Epoch: 28, Rp: 0.795175159684545, R2: -0.21871223747446566, MAE: 4.606554043186321, RMSE: 7.3500874406389185
Testing Epoch: 29, Rp: 0.7955380655487074, R2: -0.20645975568211705, MAE: 4.580395640133975, RMSE: 7.313046577240101
Testing Epoch: 30, Rp: 0.7959221654387887, R2: -0.19433342625476513, MAE: 4.554653766230193, RMSE: 7.276201430154877
Testing Epoch: 31, Rp: 0.7963176813067703, R2: -0.18224562162874358, MAE: 4.528419022475306, RMSE: 7.239286706113277
Testing Epoch: 32, Rp: 0.7967370886299932, R2: -0.16990183376863244, MAE: 4.501943162241849, RMSE: 7.201394962133331
Testing Epoch: 33, Rp: 0.7971531875021196, R2: -0.15791333425010423, MAE: 4.476445579935036, RMSE: 7.164402013871289
Testing Epoch: 34, Rp: 0.7975631712086861, R2: -0.14609492148749692, MAE: 4.451566733396146, RMSE: 7.127745978694668
Testing Epoch: 35, Rp: 0.7979964927191354, R2: -0.13432828632637372, MAE: 4.42683180513944, RMSE: 7.0910622959389915
Testing Epoch: 36, Rp: 0.7984655027619582, R2: -0.12250262595456274, MAE: 4.40163753269498, RMSE: 7.054002390776709
Testing Epoch: 37, Rp: 0.7989336889305161, R2: -0.11064223967454612, MAE: 4.376304101509165, RMSE: 7.016637059376035
Testing Epoch: 38, Rp: 0.7994088689432813, R2: -0.09891798111201067, MAE: 4.351185005888045, RMSE: 6.979503984211572
Testing Epoch: 39, Rp: 0.7998843288230051, R2: -0.08720902418509602, MAE: 4.326081378852441, RMSE: 6.9422211437011265
Testing Epoch: 40, Rp: 0.8003707885023265, R2: -0.07592192832001099, MAE: 4.302114381595401, RMSE: 6.906091040028336
Testing Epoch: 41, Rp: 0.8008822574548238, R2: -0.06461551938070054, MAE: 4.278080225023162, RMSE: 6.869708609327864
Testing Epoch: 42, Rp: 0.801381837260166, R2: -0.05350671336975843, MAE: 4.254128375169072, RMSE: 6.833773390931678
Testing Epoch: 43, Rp: 0.8018908859753902, R2: -0.04241124327267265, MAE: 4.229813637320516, RMSE: 6.797691689264054
